Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1914,0.17,-0.11,-0.35,-0.39,-0.19,-0.23,-0.34,-0.26,-0.3,0,-0.21,-0.04,-0.19,-0.17,0.06,-0.31,-0.28,-0.17
1915,-0.26,-0.09,-0.24,0.07,-0.01,-0.12,-0.09,-0.16,-0.21,-0.27,-0.03,-0.25,-0.14,-0.12,-0.13,-0.06,-0.12,-0.17
1916,-0.09,-0.16,-0.38,-0.34,-0.36,-0.5,-0.34,-0.37,-0.49,-0.35,-0.47,-1.14,-0.42,-0.34,-0.17,-0.36,-0.4,-0.44
1917,-0.54,-0.69,-0.75,-0.64,-0.73,-0.49,-0.32,-0.4,-0.31,-0.62,-0.31,-1.05,-0.57,-0.58,-0.79,-0.71,-0.41,-0.42
1918,-0.69,-0.46,-0.25,-0.59,-0.49,-0.45,-0.34,-0.37,-0.26,-0.04,-0.22,-0.56,-0.39,-0.43,-0.73,-0.45,-0.38,-0.17
1919,-0.38,-0.42,-0.38,-0.24,-0.43,-0.39,-0.33,-0.3,-0.19,-0.08,-0.47,-0.55,-0.35,-0.35,-0.45,-0.35,-0.34,-0.25
1920,-0.15,-0.3,0,-0.21,-0.21,-0.25,-0.25,-0.32,-0.35,-0.4,-0.45,-0.72,-0.3,-0.29,-0.33,-0.14,-0.27,-0.4
1921,0.19,-0.09,-0.12,-0.17,-0.25,-0.15,-0.03,-0.29,-0.17,0,-0.09,-0.13,-0.11,-0.16,-0.21,-0.18,-0.16,-0.09
1922,-0.37,-0.62,-0.1,-0.16,-0.19,-0.15,-0.28,-0.36,-0.43,-0.32,-0.13,-0.14,-0.27,-0.27,-0.37,-0.15,-0.26,-0.29
1923,-0.18,-0.47,-0.39,-0.52,-0.39,-0.24,-0.29,-0.27,-0.17,0.07,0.16,0.1,-0.22,-0.24,-0.26,-0.44,-0.27,0.02
1924,-0.29,-0.21,0.03,-0.28,-0.06,-0.19,-0.22,-0.26,-0.22,-0.24,0.1,-0.36,-0.18,-0.14,-0.13,-0.1,-0.22,-0.12
1925,-0.29,-0.39,-0.23,-0.16,-0.22,-0.25,-0.25,-0.18,-0.05,-0.08,0.22,0.22,-0.14,-0.19,-0.35,-0.2,-0.23,0.03
1926,0.53,0.19,0.37,-0.12,-0.23,-0.2,-0.2,-0.05,-0.02,0.07,0.17,-0.29,0.02,0.06,0.31,0.01,-0.15,0.08
1927,-0.29,-0.08,-0.47,-0.27,-0.12,-0.13,-0.08,-0.16,0.03,0.25,0.1,-0.37,-0.13,-0.13,-0.22,-0.29,-0.12,0.12
1928,0.27,0.09,-0.23,-0.31,-0.17,-0.31,-0.1,-0.19,-0.16,-0.08,0.06,-0.03,-0.1,-0.13,0,-0.24,-0.2,-0.06
1929,-0.56,-0.8,-0.19,-0.35,-0.28,-0.39,-0.35,-0.19,-0.2,-0.01,-0.02,-0.65,-0.33,-0.28,-0.46,-0.27,-0.31,-0.08
1930,-0.11,-0.2,0.11,-0.16,-0.2,-0.11,-0.03,0.02,-0.01,0.02,0.45,0.08,-0.01,-0.07,-0.32,-0.08,-0.04,0.15
1931,0.02,-0.22,-0.05,-0.19,-0.14,0.15,0.08,0.09,0.17,0.36,0.26,0.1,0.05,0.05,-0.04,-0.13,0.11,0.26
1932,0.38,-0.19,-0.2,0.11,-0.09,-0.14,-0.14,-0.07,0.11,0.15,-0.32,-0.2,-0.05,-0.03,0.1,-0.06,-0.12,-0.02
1933,-0.19,-0.29,-0.31,-0.16,-0.26,-0.31,-0.13,-0.14,-0.27,-0.17,-0.24,-0.54,-0.25,-0.22,-0.23,-0.24,-0.19,-0.23
1934,-0.15,0.33,-0.27,-0.29,0.08,-0.01,-0.03,-0.09,-0.14,0.13,0.27,0.18,0,-0.06,-0.12,-0.16,-0.05,0.09
1935,-0.39,0.56,0.03,-0.35,-0.29,-0.15,-0.04,-0.06,-0.06,0.12,-0.32,-0.17,-0.09,-0.07,0.12,-0.21,-0.09,-0.09
1936,-0.29,-0.51,-0.13,-0.06,-0.01,0.04,0.09,0.03,0.07,0.07,0.14,0.14,-0.03,-0.06,-0.32,-0.07,0.05,0.09
1937,0.09,0.24,-0.23,-0.07,0.13,0.15,0.15,0.16,0.29,0.33,0.25,0,0.12,0.14,0.16,-0.06,0.15,0.29
1938,0.35,0.28,0.34,0.31,0.03,-0.07,-0.02,0.08,0.15,0.32,0.3,-0.14,0.16,0.17,0.21,0.22,0,0.26
1939,0.02,-0.02,-0.24,-0.07,0.01,0,0.05,0.08,0.12,0.08,0.24,0.79,0.09,0.01,-0.04,-0.1,0.04,0.15
1940,-0.11,0.14,0.04,0.28,0.16,0.16,0.15,0.07,0.27,0.29,0.3,0.36,0.18,0.21,0.27,0.16,0.13,0.29
