Year,Period,Mean_Temp
1948,APR THRU JUN,6
1949,APR THRU JUN,-8
1950,APR THRU JUN,-11
1951,APR THRU JUN,7
1952,APR THRU JUN,16
1953,APR THRU JUN,30
1954,APR THRU JUN,-4
1955,APR THRU JUN,-16
1956,APR THRU JUN,-25
1957,APR THRU JUN,-1
1958,APR THRU JUN,6
1959,APR THRU JUN,13
1960,APR THRU JUN,3
1961,APR THRU JUN,13
1962,APR THRU JUN,4
1963,APR THRU JUN,-1
1964,APR THRU JUN,-16
1965,APR THRU JUN,-20
1966,APR THRU JUN,-7
1967,APR THRU JUN,7
1968,APR THRU JUN,-3
1969,APR THRU JUN,3
1970,APR THRU JUN,-1
1971,APR THRU JUN,-15
1972,APR THRU JUN,-12
1973,APR THRU JUN,15
1974,APR THRU JUN,-15
1975,APR THRU JUN,-2
1976,APR THRU JUN,-15
1977,APR THRU JUN,24
1978,APR THRU JUN,-4
1979,APR THRU JUN,-3
1980,APR THRU JUN,20
1981,APR THRU JUN,28
1982,APR THRU JUN,9
1983,APR THRU JUN,8
1984,APR THRU JUN,8
1985,APR THRU JUN,2
1986,APR THRU JUN,16
1987,APR THRU JUN,15
1988,APR THRU JUN,42
1989,APR THRU JUN,26
1990,APR THRU JUN,56
1991,APR THRU JUN,45
1992,APR THRU JUN,12
1993,APR THRU JUN,26
1994,APR THRU JUN,43
1995,APR THRU JUN,54
1996,APR THRU JUN,26
1997,APR THRU JUN,47
1998,APR THRU JUN,75
1999,APR THRU JUN,42
2000,APR THRU JUN,62
2001,APR THRU JUN,60
2002,APR THRU JUN,57
2003,APR THRU JUN,62
2004,APR THRU JUN,56
2005,APR THRU JUN,83
2006,APR THRU JUN,72
2007,APR THRU JUN,81
2008,APR THRU JUN,62
2009,APR THRU JUN,68
2010,APR THRU JUN,97
2011,APR THRU JUN,76
2012,APR THRU JUN,99
2013,APR THRU JUN,74
2014,APR THRU JUN,93
2015,APR THRU JUN,104
2016,APR THRU JUN,124
2017,APR THRU JUN,102
2018,APR THRU JUN,95
2019,APR THRU JUN,115
1880,JUL THRU SEP,-21
1881,JUL THRU SEP,-6
1882,JUL THRU SEP,-21
1883,JUL THRU SEP,-19
1884,JUL THRU SEP,-46
1885,JUL THRU SEP,-35
1886,JUL THRU SEP,-27
1887,JUL THRU SEP,-30
1888,JUL THRU SEP,-11
1889,JUL THRU SEP,-17
1890,JUL THRU SEP,-30
1891,JUL THRU SEP,-9
1892,JUL THRU SEP,-28
1893,JUL THRU SEP,-24
1894,JUL THRU SEP,-25
1895,JUL THRU SEP,-15
1896,JUL THRU SEP,-6
1897,JUL THRU SEP,-1
1898,JUL THRU SEP,-12
1899,JUL THRU SEP,-7
1900,JUL THRU SEP,-5
1901,JUL THRU SEP,-12
1902,JUL THRU SEP,-31
1903,JUL THRU SEP,-48
1904,JUL THRU SEP,-57
1905,JUL THRU SEP,-20
1906,JUL THRU SEP,-21
1907,JUL THRU SEP,-38
1908,JUL THRU SEP,-41
1909,JUL THRU SEP,-38
1910,JUL THRU SEP,-40
1911,JUL THRU SEP,-39
1912,JUL THRU SEP,-70
1913,JUL THRU SEP,-46
1914,JUL THRU SEP,-30
1915,JUL THRU SEP,-15
1916,JUL THRU SEP,-40
1917,JUL THRU SEP,-34
1918,JUL THRU SEP,-32
1919,JUL THRU SEP,-27
1920,JUL THRU SEP,-31
1921,JUL THRU SEP,-16
1922,JUL THRU SEP,-36
1923,JUL THRU SEP,-24
1924,JUL THRU SEP,-23
1925,JUL THRU SEP,-16
1926,JUL THRU SEP,-9
1927,JUL THRU SEP,-7
1928,JUL THRU SEP,-15
1929,JUL THRU SEP,-25
1930,JUL THRU SEP,-1
1931,JUL THRU SEP,11
1932,JUL THRU SEP,-3
1933,JUL THRU SEP,-18
1934,JUL THRU SEP,-9
1935,JUL THRU SEP,-5
1936,JUL THRU SEP,6
1937,JUL THRU SEP,20
1938,JUL THRU SEP,7
1939,JUL THRU SEP,8
1940,JUL THRU SEP,16
1941,JUL THRU SEP,18
1942,JUL THRU SEP,1
1943,JUL THRU SEP,7
1944,JUL THRU SEP,22
1945,JUL THRU SEP,18
1946,JUL THRU SEP,-6
1947,JUL THRU SEP,-4
1948,JUL THRU SEP,0
1949,JUL THRU SEP,-9
1950,JUL THRU SEP,-16
1951,JUL THRU SEP,21
1952,JUL THRU SEP,11
1953,JUL THRU SEP,19
1954,JUL THRU SEP,-1
1955,JUL THRU SEP,0
1956,JUL THRU SEP,-27
1957,JUL THRU SEP,13
1958,JUL THRU SEP,8
1959,JUL THRU SEP,9
1960,JUL THRU SEP,11
1961,JUL THRU SEP,3
1962,JUL THRU SEP,4
1963,JUL THRU SEP,12
1964,JUL THRU SEP,-22
1965,JUL THRU SEP,-19
1966,JUL THRU SEP,10
1967,JUL THRU SEP,2
1968,JUL THRU SEP,-7
1969,JUL THRU SEP,5
1970,JUL THRU SEP,-5
1971,JUL THRU SEP,-14
1972,JUL THRU SEP,-13
1973,JUL THRU SEP,0
1974,JUL THRU SEP,-13
1975,JUL THRU SEP,-9
1976,JUL THRU SEP,-20
1977,JUL THRU SEP,8
1978,JUL THRU SEP,-7
1979,JUL THRU SEP,9
1980,JUL THRU SEP,11
1981,JUL THRU SEP,13
1982,JUL THRU SEP,1
1983,JUL THRU SEP,24
1984,JUL THRU SEP,4
1985,JUL THRU SEP,-2
1986,JUL THRU SEP,0
1987,JUL THRU SEP,30
1988,JUL THRU SEP,31
1989,JUL THRU SEP,27
1990,JUL THRU SEP,38
1991,JUL THRU SEP,37
1992,JUL THRU SEP,-12
1993,JUL THRU SEP,3
1994,JUL THRU SEP,33
1995,JUL THRU SEP,44
1996,JUL THRU SEP,17
1997,JUL THRU SEP,47
1998,JUL THRU SEP,69
1999,JUL THRU SEP,35
2000,JUL THRU SEP,42
2001,JUL THRU SEP,63
