,Year,Period,Mean Land-Ocean Temp (Celsius)
163,1903,APR THRU JUN,-44.0
164,1904,APR THRU JUN,-46.0
165,1905,APR THRU JUN,-33.0
166,1906,APR THRU JUN,-10.0
167,1907,APR THRU JUN,-51.0
168,1908,APR THRU JUN,-35.0
169,1909,APR THRU JUN,-54.0
170,1910,APR THRU JUN,-38.0
171,1911,APR THRU JUN,-41.0
172,1912,APR THRU JUN,-14.0
173,1913,APR THRU JUN,-51.0
174,1914,APR THRU JUN,-27.0
175,1915,APR THRU JUN,-2.0
176,1916,APR THRU JUN,-40.0
177,1917,APR THRU JUN,-62.0
178,1918,APR THRU JUN,-51.0
179,1919,APR THRU JUN,-35.0
180,1920,APR THRU JUN,-22.0
181,1921,APR THRU JUN,-19.0
182,1922,APR THRU JUN,-17.0
183,1923,APR THRU JUN,-38.0
184,1924,APR THRU JUN,-18.0
185,1925,APR THRU JUN,-21.0
186,1926,APR THRU JUN,-18.0
187,1927,APR THRU JUN,-17.0
188,1928,APR THRU JUN,-26.0
189,1929,APR THRU JUN,-34.0
190,1930,APR THRU JUN,-16.0
191,1931,APR THRU JUN,-6.0
192,1932,APR THRU JUN,-4.0
193,1933,APR THRU JUN,-24.0
194,1934,APR THRU JUN,-7.0
195,1935,APR THRU JUN,-26.0
196,1936,APR THRU JUN,-1.0
197,1937,APR THRU JUN,7.0
198,1938,APR THRU JUN,9.0
199,1939,APR THRU JUN,-2.0
200,1940,APR THRU JUN,20.0
201,1941,APR THRU JUN,19.0
202,1942,APR THRU JUN,12.0
203,1943,APR THRU JUN,15.0
204,1944,APR THRU JUN,19.0
205,1945,APR THRU JUN,14.0
206,1946,APR THRU JUN,9.0
207,1947,APR THRU JUN,9.0
208,1948,APR THRU JUN,6.0
209,1949,APR THRU JUN,-8.0
210,1950,APR THRU JUN,-11.0
211,1951,APR THRU JUN,7.0
212,1952,APR THRU JUN,16.0
213,1953,APR THRU JUN,30.0
214,1954,APR THRU JUN,-4.0
215,1955,APR THRU JUN,-16.0
216,1956,APR THRU JUN,-25.0
217,1957,APR THRU JUN,-1.0
218,1958,APR THRU JUN,6.0
219,1959,APR THRU JUN,13.0
220,1960,APR THRU JUN,3.0
221,1961,APR THRU JUN,13.0
222,1962,APR THRU JUN,4.0
223,1963,APR THRU JUN,-1.0
224,1964,APR THRU JUN,-16.0
225,1965,APR THRU JUN,-20.0
226,1966,APR THRU JUN,-7.0
227,1967,APR THRU JUN,7.0
228,1968,APR THRU JUN,-3.0
229,1969,APR THRU JUN,3.0
230,1970,APR THRU JUN,-1.0
231,1971,APR THRU JUN,-15.0
232,1972,APR THRU JUN,-12.0
233,1973,APR THRU JUN,15.0
234,1974,APR THRU JUN,-15.0
235,1975,APR THRU JUN,-2.0
236,1976,APR THRU JUN,-15.0
237,1977,APR THRU JUN,24.0
238,1978,APR THRU JUN,-4.0
239,1979,APR THRU JUN,-3.0
240,1980,APR THRU JUN,20.0
241,1981,APR THRU JUN,28.0
242,1982,APR THRU JUN,9.0
243,1983,APR THRU JUN,8.0
244,1984,APR THRU JUN,8.0
245,1985,APR THRU JUN,2.0
246,1986,APR THRU JUN,16.0
247,1987,APR THRU JUN,15.0
